electricity_plan_name,fixed_rate,import_rates_day,import_rates_night,import_rates_export,kg_co2e_per_kwh
Electricity PlanId 91543,3.668500,0.251965,0.251965,0.136000,0.107200
Electricity PlanId 160956,3.680000,0.336835,0.209185,0.136000,0.107200
Electricity PlanId 68301,2.648105,0.250930,0.218385,0.136000,0.107200
Electricity PlanId 77409,3.158245,0.333155,0.299345,0.136000,0.107200
Electricity PlanId 177399,2.806000,0.241960,0.196075,0.136000,0.107200
Electricity PlanId 156274,2.334500,0.354775,0.137770,0.136000,0.107200
Electricity PlanId 8908,3.094190,0.262085,0.262085,0.136000,0.107200
Electricity PlanId 91651,2.794500,0.326715,0.190670,0.136000,0.107200
Electricity PlanId 161928,1.668995,0.357075,0.357075,0.136000,0.107200
Electricity PlanId 91809,2.955500,0.331085,0.193545,0.136000,0.107200
Electricity PlanId 99894,4.427500,0.237475,0.237475,0.136000,0.107200
Electricity PlanId 100015,3.484500,0.286695,0.286695,0.136000,0.107200
Electricity PlanId 91773,1.989500,0.347300,0.198145,0.136000,0.107200
Electricity PlanId 81753,1.573430,0.369265,0.304635,0.136000,0.107200
Electricity PlanId 177371,2.242500,0.210335,0.210335,0.136000,0.107200
Electricity PlanId 160957,2.524250,0.314985,0.180435,0.136000,0.107200
Electricity PlanId 81580,3.603180,0.286695,0.261050,0.136000,0.107200
Electricity PlanId 9268,4.418185,0.225170,0.201825,0.136000,0.107200
Electricity PlanId 177883,2.024000,0.271860,0.159390,0.136000,0.107200
Electricity PlanId 160980,3.161350,0.404685,0.155135,0.136000,0.107200
Electricity PlanId 160789,3.782350,0.344885,0.189635,0.136000,0.107200
Electricity PlanId 156310,3.162500,0.277495,0.220685,0.136000,0.107200
Electricity PlanId 161099,2.301150,0.365585,0.164335,0.136000,0.107200
Electricity PlanId 8489,3.420905,0.364550,0.222985,0.136000,0.107200
Electricity PlanId 91955,4.680500,0.233335,0.140530,0.136000,0.107200
Electricity PlanId 92214,2.909500,0.324185,0.150075,0.136000,0.107200
Electricity PlanId 92272,2.461000,0.271745,0.142715,0.136000,0.107200
Default Electricity Plan,2.000000,0.242000,0.180000,0.136000,0.107200
